#query_id	query_length	cdd_id	hit_id	evalue	startQ	endQ	frame	description	superkingdom	no rank	family	genus	project
I8_1002	497	pfam00076	gnl|CDD|278504	3.59534e-12	2	190	2	pfam00076, RRM_1, RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain).  The RRM motif is probably diagnostic of an RNA binding protein. RRMs are found in a variety of RNA binding proteins, including various hnRNP proteins, proteins implicated in regulation of alternative splicing, and protein components of snRNPs. The motif also appears in a few single stranded DNA binding proteins. The RRM structure consists of four strands and two helices arranged in an alpha/beta sandwich, with a third helix present during RNA binding in some cases The C-terminal beta strand (4th strand) and final helix are hard to align and have been omitted in the SEED alignment The LA proteins have an N terminal rrm which is included in the seed. There is a second region towards the C terminus that has some features characteristic of a rrm but does not appear to have the important structural core of a rrm. The LA proteins are one of the main autoantigens in Systemic lupus erythematosus (SLE), an autoimmune disease.	Eukaryota(1.00);	(1.00);	Saccharomycetaceae(0.39);Drosophilidae(0.31);Hominidae(0.10);Schizosaccharomycetaceae(0.06);Solanaceae(0.04);	Saccharomyces(0.39);Drosophila(0.31);Homo(0.10);Schizosaccharomyces(0.06);Solanum(0.04);	Inviceb2
I8_1003	496	pfam00294	gnl|CDD|306743	2.00052e-09	35	496	-1	pfam00294, PfkB, pfkB family carbohydrate kinase.  This family includes a variety of carbohydrate and pyrimidine kinases.	Bacteria(0.67);Eukaryota(0.28);Archaea(0.05);	(1.00);	Enterobacteriaceae(0.19);Bacillaceae(0.12);Rhabditidae(0.09);Merismopediaceae(0.05);Schizosaccharomycetaceae(0.05);	Escherichia(0.14);Bacillus(0.12);Caenorhabditis(0.09);Synechocystis(0.05);Haemophilus(0.05);	Inviceb2
I8_1005	496	pfam14853	gnl|CDD|317286	4.40136e-24	307	465	1	pfam14853, Fis1_TPR_C, Fis1 C-terminal tetratricopeptide repeat.  The mitochondrial fission protein Fis1 consists of two tetratricopeptide repeats. This domain is the C-terminal tetratricopeptide repeat.	Eukaryota(1.00);	(1.00);	Debaryomycetaceae(0.10);Saccharomycetaceae(0.08);(0.06);Rhabditidae(0.06);Poaceae(0.04);	Caenorhabditis(0.06);Arabidopsis(0.04);Ixodes(0.04);Clavispora(0.02);Neospora(0.02);	Inviceb2
I8_1005	496	pfam14852	gnl|CDD|317285	1.50121e-08	190	279	1	pfam14852, Fis1_TPR_N, Fis1 N-terminal tetratricopeptide repeat.  The mitochondrial fission protein Fis1 consists of two tetratricopeptide repeats. This domain is the N-terminal tetratricopeptide repeat.	Eukaryota(1.00);	(1.00);	Debaryomycetaceae(0.11);(0.07);Saccharomycetaceae(0.06);Schizosaccharomycetaceae(0.04);Rhabditidae(0.04);	Caenorhabditis(0.04);Schizosaccharomyces(0.04);Wallemia(0.02);Arabidopsis(0.02);Drosophila(0.02);	Inviceb2
I8_1006	496	pfam07889	gnl|CDD|311716	2.13972e-32	2	178	-1	pfam07889, DUF1664, Protein of unknown function (DUF1664).  The members of this family are hypothetical plant proteins of unknown function. The region featured in this family is approximately 100 amino acids long.	Eukaryota(1.00);	(1.00);	Poaceae(0.29);Brassicaceae(0.19);Vitaceae(0.07);Musaceae(0.07);Solanaceae(0.07);	Arabidopsis(0.14);Oryza(0.10);Solanum(0.07);Zea(0.07);Musa(0.07);	Inviceb2
I8_1008	496	pfam01556	gnl|CDD|307614	3.14236e-16	341	496	2	pfam01556, DnaJ_C, DnaJ C terminal domain.  This family consists of the C terminal region of the DnaJ protein. It is always found associated with pfam00226 and pfam00684. DnaJ is a chaperone associated with the Hsp70 heat-shock system involved in protein folding and renaturation after stress. The two C-terminal domains CTDI and CTDII, both incorporated in this family are necessary for maintaining the J-domains in their specific relative positions. Structural analysis of Structure 1nlt shows that PF00684 is nested within this DnaJ C-terminal region.	Bacteria(0.66);Eukaryota(0.31);Archaea(0.03);	(1.00);	(0.08);Clostridiaceae(0.06);Saccharomycetaceae(0.03);Ruminococcaceae(0.02);Lachnospiraceae(0.02);	Clostridium(0.05);(0.03);Desulfovibrio(0.01);	Inviceb2
I8_1009	495	pfam04012	gnl|CDD|281941	2.78792e-51	28	492	1	pfam04012, PspA_IM30, PspA/IM30 family.  This family includes PspA a protein that suppresses sigma54-dependent transcription. The PspA protein, a negative regulator of the Escherichia coli phage shock psp operon, is produced when virulence factors are exported through secretins in many Gram-negative pathogenic bacteria and its homolog in plants, VIPP1, plays a critical role in thylakoid biogenesis, essential for photosynthesis. Activation of transcription by the enhancer-dependent bacterial sigma(54) containing RNA polymerase occurs through ATP hydrolysis-driven protein conformational changes enabled by activator proteins that belong to the large AAA(+) mechanochemical protein family. It has been shown that PspA directly and specifically acts upon and binds to the AAA(+) domain of the PspF transcription activator.	Bacteria(1.00);	(1.00);	Bacillaceae(0.18);Merismopediaceae(0.18);Vibrionaceae(0.09);Pseudomonadaceae(0.09);Deinococcaceae(0.09);	Bacillus(0.18);Synechocystis(0.18);Pseudomonas(0.09);Mycobacterium(0.09);Caulobacter(0.09);	Inviceb2
I8_101	1016	pfam00004	gnl|CDD|306510	1.02358e-42	338	700	-2	pfam00004, AAA, ATPase family associated with various cellular activities (AAA).  AAA family proteins often perform chaperone-like functions that assist in the assembly, operation, or disassembly of protein complexes.	Eukaryota(0.56);Bacteria(0.33);Archaea(0.10);Viruses(0.01);	(0.99);dsDNA viruses, no RNA stage(0.01);	Saccharomycetaceae(0.11);Brassicaceae(0.08);Schizosaccharomycetaceae(0.07);Rhabditidae(0.07);Mycobacteriaceae(0.05);	Saccharomyces(0.11);Arabidopsis(0.08);Schizosaccharomyces(0.07);Caenorhabditis(0.07);Mycobacterium(0.05);	Inviceb2
I8_101	1016	pfam09336	gnl|CDD|312737	1.00721e-06	17	118	-2	pfam09336, Vps4_C, Vps4 C terminal oligomerization domain.  This domain is found at the C terminal of ATPase proteins involved in vacuolar sorting. It forms an alpha helix structure and is required for oligomerization.	Eukaryota(1.00);	(1.00);	(0.07);Saccharomycetaceae(0.04);Poaceae(0.03);Salpingoecidae(0.02);Ophiostomataceae(0.02);	Schizosaccharomyces(0.02);Crassostrea(0.02);Reticulomyxa(0.02);Trichomonas(0.02);Micromonas(0.01);	Inviceb2
I8_1011	495	pfam00069	gnl|CDD|306557	7.77329e-05	169	363	-1	pfam00069, Pkinase, Protein kinase domain.  	Eukaryota(1.00);	(1.00);	Saccharomycetaceae(0.34);Muridae(0.16);Schizosaccharomycetaceae(0.12);Hominidae(0.09);Fabaceae(0.06);	Saccharomyces(0.34);Schizosaccharomyces(0.12);Rattus(0.09);Drosophila(0.06);Glycine(0.06);	Inviceb2
I8_1013	no_hit												Inviceb2
I8_1014	495	pfam00365	gnl|CDD|306799	1.53583e-23	148	474	1	pfam00365, PFK, Phosphofructokinase.  	Bacteria(0.73);Eukaryota(0.26);	(1.00);	(0.08);Clostridiaceae(0.07);Lachnospiraceae(0.03);Ruminococcaceae(0.03);Mycoplasmataceae(0.03);	Clostridium(0.06);(0.05);Mycoplasma(0.02);Eubacterium(0.02);Ruminococcus(0.01);	Inviceb2
I8_1015	494	pfam04190	gnl|CDD|309354	1.3623e-17	32	196	-2	pfam04190, DUF410, Protein of unknown function (DUF410).  This family of proteins is from Caenorhabditis elegans and has no known function. The protein has some GO references indicating that the protein has a positive regulation of growth rate and is involved in nematode larval development.	Eukaryota(1.00);	(1.00);	Saccharomycetaceae(0.10);(0.08);Debaryomycetaceae(0.05);Plasmodiidae(0.02);Ophiostomataceae(0.02);	Drosophila(0.02);Schizosaccharomyces(0.02);Plasmodium(0.02);Caenorhabditis(0.02);Dictyostelium(0.02);	Inviceb2
I8_1016	494	pfam00892	gnl|CDD|307170	1.34356e-16	1	369	1	pfam00892, EamA, EamA-like transporter family.  This family includes many hypothetical membrane proteins of unknown function. Many of the proteins contain two copies of the aligned region. The family used to be known as DUF6. Members of this family usually carry 5+5 transmembrane domains, and this domain attempts to model five of these.	Bacteria(0.73);Archaea(0.26);Eukaryota(0.01);	(1.00);	Bacillaceae(0.24);Enterobacteriaceae(0.13);Thermococcaceae(0.11);Archaeoglobaceae(0.10);Erwiniaceae(0.06);	Bacillus(0.24);Pyrococcus(0.11);Archaeoglobus(0.10);Escherichia(0.09);Synechocystis(0.05);	Inviceb2
I8_1019	493	pfam01048	gnl|CDD|307268	6.86933e-15	6	482	-3	pfam01048, PNP_UDP_1, Phosphorylase superfamily.  Members of this family include: purine nucleoside phosphorylase (PNP) Uridine phosphorylase (UdRPase) 5'-methylthioadenosine phosphorylase (MTA phosphorylase).	Bacteria(0.74);Eukaryota(0.20);Archaea(0.06);	(1.00);	Geobacteraceae(0.05);(0.04);Ruminococcaceae(0.04);Trichomonadidae(0.04);Hexamitidae(0.04);	Geobacter(0.05);Giardia(0.04);Trichomonas(0.04);Ruminiclostridium(0.04);Caenorhabditis(0.02);	Inviceb2
I8_1021	493	pfam01263	gnl|CDD|307429	2.60821e-41	9	488	3	pfam01263, Aldose_epim, Aldose 1-epimerase.  	Bacteria(0.56);Eukaryota(0.41);Archaea(0.03);	(1.00);	Brassicaceae(0.15);Drosophilidae(0.08);Saccharomycetaceae(0.08);Streptococcaceae(0.08);Pasteurellaceae(0.08);	Arabidopsis(0.15);Drosophila(0.08);Saccharomyces(0.05);Mesorhizobium(0.05);Escherichia(0.05);	Inviceb2
I8_1022	493	pfam11865	gnl|CDD|314695	9.4231e-48	165	476	-3	pfam11865, DUF3385, Domain of unknown function (DUF3385).  This domain is functionally uncharacterized. This domain is found in eukaryotes. This presumed domain is typically between 160 to 172 amino acids in length. This domain is found associated with pfam00454, pfam02260, pfam02985, pfam02259 and pfam08771.	Eukaryota(1.00);	(1.00);	Saccharomycetaceae(0.11);(0.09);Trypanosomatidae(0.07);Schizosaccharomycetaceae(0.03);Agaricaceae(0.02);	Trypanosoma(0.04);Schizosaccharomyces(0.03);Kazachstania(0.03);Naumovozyma(0.02);Leishmania(0.02);	Inviceb2
I8_1023	493	pfam00935	gnl|CDD|307198	1.12411e-50	99	326	-3	pfam00935, Ribosomal_L44, Ribosomal protein L44.  	Archaea(0.54);Eukaryota(0.46);	(1.00);	(0.11);Thermoproteaceae(0.05);Desulfurococcaceae(0.04);Methanosarcinaceae(0.04);Sulfolobaceae(0.04);	Tupaia(0.02);(0.02);Methanosaeta(0.02);Vittaforma(0.01);Cryptosporidium(0.01);	Inviceb2
I8_1024	493	pfam00133	gnl|CDD|306611	1.58078e-61	1	387	-2	pfam00133, tRNA-synt_1, tRNA synthetases class I (I, L, M and V).  Other tRNA synthetase sub-families are too dissimilar to be included.	Bacteria(0.58);Eukaryota(0.42);	(1.00);	Enterobacteriaceae(0.17);Saccharomycetaceae(0.17);Tetrahymenidae(0.08);Sordariaceae(0.08);Staphylococcaceae(0.08);	Saccharomyces(0.17);Escherichia(0.17);Haemophilus(0.08);Neurospora(0.08);Pseudomonas(0.08);	Inviceb2
I8_1025	492	pfam01237	gnl|CDD|307410	1.1606e-54	163	492	1	pfam01237, Oxysterol_BP, Oxysterol-binding protein.  	Eukaryota(1.00);	(1.00);	Saccharomycetaceae(0.13);(0.08);Debaryomycetaceae(0.06);Coelacanthidae(0.02);Drosophilidae(0.02);	Dictyostelium(0.03);Latimeria(0.02);Tetrapisispora(0.02);Drosophila(0.02);Kazachstania(0.02);	Inviceb2
I8_1026	492	pfam06862	gnl|CDD|311053	8.31272e-72	2	478	2	pfam06862, UTP25, Utp25, U3 small nucleolar RNA-associated SSU processome protein 25.  UTP25 is a family of eukaryotic proteins. The family displays limited sequence similarity to DEAD-box RNA helicases, having alternative residues at the Walker A and DEAD-box sites, but conservation of structural and other key residues. The domain is required and sufficient for the interaction of Utp25 with Utp3. UTP25 interacts with nucleolar protein Nop19 in S. cerevisiae, and Nop19p is essential for the incorporation of Utp25p into pre-ribosomes.	Eukaryota(1.00);	(1.00);	Saccharomycetaceae(0.20);Debaryomycetaceae(0.16);Ustilaginaceae(0.04);Cyprinidae(0.04);Dipodascaceae(0.04);	Dictyostelium(0.04);Meyerozyma(0.04);Arabidopsis(0.04);Ustilago(0.04);Scheffersomyces(0.04);	Inviceb2
I8_1027	492	pfam00514	gnl|CDD|278915	4.1291e-12	79	201	-1	pfam00514, Arm, Armadillo/beta-catenin-like repeat.  Approx. 40 amino acid repeat. Tandem repeats form super-helix of helices that is proposed to mediate interaction of beta-catenin with its ligands. CAUTION: This family does not contain all known armadillo repeats.	Eukaryota(1.00);	(1.00);	Hominidae(0.26);Brassicaceae(0.21);Schizosaccharomycetaceae(0.15);Drosophilidae(0.13);Rhabditidae(0.08);	Arabidopsis(0.21);Homo(0.21);Schizosaccharomyces(0.15);Drosophila(0.13);Caenorhabditis(0.08);	Inviceb2
I8_1027	492	pfam00514	gnl|CDD|278915	3.71144e-10	205	321	-1	pfam00514, Arm, Armadillo/beta-catenin-like repeat.  Approx. 40 amino acid repeat. Tandem repeats form super-helix of helices that is proposed to mediate interaction of beta-catenin with its ligands. CAUTION: This family does not contain all known armadillo repeats.	Eukaryota(1.00);	(1.00);	Hominidae(0.26);Brassicaceae(0.21);Schizosaccharomycetaceae(0.15);Drosophilidae(0.13);Rhabditidae(0.08);	Arabidopsis(0.21);Homo(0.21);Schizosaccharomyces(0.15);Drosophila(0.13);Caenorhabditis(0.08);	Inviceb2
I8_1027	492	pfam00514	gnl|CDD|278915	1.87096e-09	334	456	-1	pfam00514, Arm, Armadillo/beta-catenin-like repeat.  Approx. 40 amino acid repeat. Tandem repeats form super-helix of helices that is proposed to mediate interaction of beta-catenin with its ligands. CAUTION: This family does not contain all known armadillo repeats.	Eukaryota(1.00);	(1.00);	Hominidae(0.26);Brassicaceae(0.21);Schizosaccharomycetaceae(0.15);Drosophilidae(0.13);Rhabditidae(0.08);	Arabidopsis(0.21);Homo(0.21);Schizosaccharomyces(0.15);Drosophila(0.13);Caenorhabditis(0.08);	Inviceb2
I8_1029	492	pfam00387	gnl|CDD|306817	1.35217e-36	29	286	2	pfam00387, PI-PLC-Y, Phosphatidylinositol-specific phospholipase C, Y domain.  This associates with pfam00388 to form a single structural unit.	Eukaryota(1.00);	(1.00);	(0.06);Saccharomycetaceae(0.04);Nectriaceae(0.04);Salpingoecidae(0.03);Debaryomycetaceae(0.03);	Fusarium(0.04);Danio(0.02);Capsaspora(0.02);Nematostella(0.02);Salpingoeca(0.02);	Inviceb2
I8_103	1012	pfam03151	gnl|CDD|308657	2.7658e-161	109	975	-2	pfam03151, TPT, Triose-phosphate Transporter family.  This family includes transporters with a specificity for triose phosphate.	Eukaryota(1.00);	(1.00);	Brassicaceae(0.27);Chlamydomonadaceae(0.13);Plasmodiidae(0.13);Cyprinidae(0.07);Drosophilidae(0.07);	Arabidopsis(0.20);Plasmodium(0.13);Chlamydomonas(0.13);Vitis(0.07);Oryza(0.07);	Inviceb2
I8_1030	492	pfam00155	gnl|CDD|306629	5.23956e-11	4	489	1	pfam00155, Aminotran_1_2, Aminotransferase class I and II.  	Eukaryota(0.48);Bacteria(0.48);Archaea(0.05);	(1.00);	Saccharomycetaceae(0.11);Enterobacteriaceae(0.11);Brassicaceae(0.09);Bacillaceae(0.09);Rhizobiaceae(0.09);	Saccharomyces(0.11);Escherichia(0.11);Arabidopsis(0.09);Bacillus(0.07);Sinorhizobium(0.07);	Inviceb2
I8_1032	491	pfam16709	gnl|CDD|318837	1.22278e-124	3	491	-1	pfam16709, SCAB-IgPH, Fused Ig-PH domain of plant-specific actin-binding protein.  This family is a fused Ig and PH domain found on plant-specific actin-binding proteins or SCABs. SCAB proteins bind, bundle and stabilize actin filaments and regulate stomatal movement. The Ig-PH fusion domain is at the C-terminus. This domain has the N-terminal Ig beta-sandwich fold consisting of two antiparallel beta-sheets built from strands beta1 and beta2 and strands beta3-beta6, respectively. The C-terminus of the fused domains adopts the PH fold, of seven beta-strands, beta7-beta13 and two alpha-helices, alpha1 and alpha2 arranged into a beta-barrel. The Ig and PH domains appear to be truly fused together into an integral structure which displays a few conserved patches on the surface, particularly of the PH part. The canonical phosphoinositide-binding pocket of the classic PH domain is degenerate in this fused one, and the charge on the pocket suggest that the Ig-PH domain contains a non-canonical binding site for inositol phosphates. There are a handful of bacterial members at low threshold but they are missing the PH part of the fused domain, and appear to match little else.	Eukaryota(1.00);	(1.00);	Brassicaceae(0.18);Poaceae(0.18);Solanaceae(0.12);Fabaceae(0.12);Funariaceae(0.12);	Glycine(0.12);Brassica(0.12);Solanum(0.12);Physcomitrella(0.12);Populus(0.06);	Inviceb2
I8_1033	491	pfam03917	gnl|CDD|309149	3.19299e-84	5	490	-2	pfam03917, GSH_synth_ATP, Eukaryotic glutathione synthase, ATP binding domain.  	Eukaryota(1.00);	(1.00);	(0.09);Debaryomycetaceae(0.05);Mycosphaerellaceae(0.04);Saccharomycetaceae(0.04);Apidae(0.02);	Dictyostelium(0.03);Glycine(0.02);Talaromyces(0.02);Apis(0.02);Wallemia(0.02);	Inviceb2
I8_1034	491	pfam00179	gnl|CDD|306648	3.78075e-75	105	488	3	pfam00179, UQ_con, Ubiquitin-conjugating enzyme.  Proteins destined for proteasome-mediated degradation may be ubiquitinated. Ubiquitination follows conjugation of ubiquitin to a conserved cysteine residue of UBC homologs. TSG101 is one of several UBC homologs that lacks this active site cysteine.	Eukaryota(1.00);	(1.00);	Drosophilidae(0.26);Brassicaceae(0.19);Muridae(0.13);Schizosaccharomycetaceae(0.13);Rhabditidae(0.13);	Drosophila(0.26);Arabidopsis(0.19);Caenorhabditis(0.13);Schizosaccharomyces(0.13);Mus(0.11);	Inviceb2
I8_1035	491	pfam00069	gnl|CDD|306557	1.08731e-54	3	491	-1	pfam00069, Pkinase, Protein kinase domain.  	Eukaryota(1.00);	(1.00);	Saccharomycetaceae(0.34);Muridae(0.16);Schizosaccharomycetaceae(0.12);Hominidae(0.09);Fabaceae(0.06);	Saccharomyces(0.34);Schizosaccharomyces(0.12);Rattus(0.09);Drosophila(0.06);Glycine(0.06);	Inviceb2
I8_1036	no_hit												Inviceb2
